ticker,earnings_date,momentum_7d,volume_spike,volatility_7d,market_return_7d,5d_return,label,sentiment_score,buzz_score,sentiment_slope,sentiment_polarity,n_headlines,transcript_sentiment,predicted,actual_return,correct
NEE,2020-04-22,0.0463995639155092,0.5699511699455249,0.0315643836781446,0.0124791206247551,-0.0487113899627744,0,0.0,100.0,0.0,0.0,100,0.769,0,-0.0487,1
PEP,2020-04-28,-0.0089419918870444,0.581826893664718,0.0217995294222774,-0.0031750896186244,-0.0341112287362958,0,0.0,100.0,0.0,0.0,100,0.5929,0,-0.0341,1
CAT,2020-04-28,-0.0072225592774318,0.5906105028762294,0.020848800517345,-0.0031750896186244,-0.0567297168309591,0,0.0,100.0,0.0,0.0,100,0.769,0,-0.0567,1
ADM,2020-04-29,0.0569618145731786,0.6192485438473714,0.0216426664065291,0.0412662485875919,-0.1043997262191207,0,0.0,100.0,0.0,0.0,100,0.2348,0,-0.1044,1
LNG,2020-04-30,0.1305085392827302,1.092394030648545,0.022353552283094,0.0638736058304344,-0.0745343600884814,0,0.0,100.0,0.0,0.0,100,-0.65,0,-0.0745,1
SHEL,2020-04-30,0.0060733023551584,0.5199358151971408,0.0627269939182098,0.0638736058304344,-0.0181102811446267,0,0.0,100.0,0.0,0.0,100,0.1963,0,-0.0181,1
CVX,2020-05-01,0.0592141371911051,0.650287454124749,0.0303240219953677,0.0132211755772116,0.0674192983797199,1,0.0,100.0,0.0,0.0,100,0.1571,0,0.0674,0
HON,2020-05-01,0.0317224357518565,0.7881996912023328,0.0257676071227021,0.0132211755772116,-0.0024774469489991,0,0.0,100.0,0.0,0.0,100,0.2732,0,-0.0025,1
XOM,2020-05-01,0.0239736960737277,0.6933926439465562,0.0410541639195783,0.0132211755772116,0.0704678587006756,1,0.0,100.0,0.0,0.0,100,0.672,0,0.0705,0
KEX,2020-05-05,-0.0256933546636929,0.8682972580857893,0.0420370327916375,0.0113788402471273,0.0609041423557552,1,0.0,100.0,0.0,0.0,100,0.259,1,0.0609,1
CF,2020-05-06,-0.0740219730807138,0.7075539136352459,0.0352914585771044,-0.0097547706361326,-0.0639512015538532,0,0.0,100.0,0.0,0.0,100,-0.1618,0,-0.064,1
NTR,2020-05-06,0.0039673404852284,0.7866311266086626,0.0255487551788027,-0.0097547706361326,-0.1171324637700072,0,0.0,100.0,0.0,0.0,100,0.672,0,-0.1171,1
2222.SR,2020-05-12,0.0433332436612815,0.656525594866217,0.013056734614626,0.0137202842224068,0.0654953163694622,1,0.0,100.0,0.0,0.0,100,0.1178,1,0.0655,1
DUK,2020-05-12,-0.009196533478318,0.9154868106352892,0.017054387168791,0.0137202842224068,0.0290959448944734,1,0.0,100.0,0.0,0.0,100,0.5929,1,0.0291,1
FRO,2020-05-20,0.0285339981107436,0.666688970753147,0.0381742394941577,0.0151452847065868,0.1462801396790484,1,0.0,100.0,0.0,0.0,100,-0.4845,0,0.1463,0
PEP,2020-07-13,0.0192656092449265,0.8277793797590519,0.0072065015409251,0.0139124264693437,-0.0133422594603362,0,0.0,100.0,0.0,0.0,100,-0.4845,1,-0.0133,0
HON,2020-07-24,-0.0164549258920268,0.6604936539752695,0.0140329800582235,-0.0030136591830287,-0.0004015204174837,0,0.0,100.0,0.0,0.0,100,-0.4845,0,-0.0004,1
NEE,2020-07-24,0.0820464976731969,0.8271364137886461,0.0151401142114837,-0.0030136591830287,0.0016057263925762,1,0.0,100.0,0.0,0.0,100,-0.5815,1,0.0016,1
ADM,2020-07-29,0.067130920152193,0.9472317357703576,0.0100281964982791,0.0024666581261571,0.0097855552677533,1,0.0,100.0,0.0,0.0,100,0.3117,1,0.0098,1
SHEL,2020-07-30,-0.0774753305090922,1.0026923233738287,0.0192894738597577,-0.0032308759834421,0.0132941455236721,1,0.0,100.0,0.0,0.0,100,-0.7132,1,0.0133,1
KEX,2020-07-30,-0.0209761600046394,1.1367324837008972,0.019110547095739,-0.0032308759834421,-0.0479422645480449,0,0.0,100.0,0.0,0.0,100,0.092,0,-0.0479,1
CVX,2020-07-31,-0.0779877218077852,0.9841981522247084,0.0198616781673597,-0.0010402566269716,0.0340716394297869,1,0.0,100.0,0.0,0.0,100,0.0565,1,0.0341,1
XOM,2020-07-31,-0.0350837240319807,1.0252773373024753,0.0215446663844914,-0.0010402566269716,0.0323194180153982,1,0.0,100.0,0.0,0.0,100,0.483,0,0.0323,0
CAT,2020-07-31,-0.0299313745795807,0.7944761337517849,0.0193572724206033,-0.0010402566269716,0.0153521226580443,1,0.0,100.0,0.0,0.0,100,-0.5815,1,0.0154,1
CF,2020-08-05,0.0497446941540171,2.430833304781157,0.0262543008124607,0.0275044507081199,0.0595382696195704,1,0.0,100.0,0.0,0.0,100,-0.4888,1,0.0595,1
LNG,2020-08-06,0.0945805907693573,0.866327012099934,0.0140447325684686,0.0409748764994583,0.0092243826803791,1,0.0,100.0,0.0,0.0,100,0.5929,1,0.0092,1
2222.SR,2020-08-10,0.0030304154896473,1.1396681504751052,0.0044455804352196,0.0358379735966162,0.0228907859374484,1,0.0,100.0,0.0,0.0,100,0.6875,1,0.0229,1
DUK,2020-08-10,0.0022466057786405,0.9508142709874806,0.0171573076062997,0.0358379735966162,-0.0142015359385128,0,0.0,100.0,0.0,0.0,100,-0.4845,0,-0.0142,1
NTR,2020-08-10,0.1018323425286329,1.1031727538952465,0.0274231573520747,0.0358379735966162,0.0627045430653314,1,0.0,100.0,0.0,0.0,100,0.2547,0,0.0627,0
DE,2020-08-21,0.0373877662666256,1.054178453660683,0.0189361338065286,0.0060457475046023,0.0521303552218026,1,0.0,100.0,0.0,0.0,100,-0.4888,1,0.0521,1
FRO,2020-08-27,-0.0901639520883445,1.17873033387912,0.02250432432852,0.0286146818541184,-0.051480055465929,0,0.0,100.0,0.0,0.0,100,0.092,0,-0.0515,1
PEP,2020-10-01,0.0654561328771803,1.4003110862875034,0.0142651291788011,0.0204055941881298,-0.0209517302323083,0,0.0,100.0,0.0,0.0,100,0.092,0,-0.021,1
NEE,2020-10-21,-0.0261392445013169,0.7911409034689156,0.0145034023607664,-0.0275232828634257,0.0005374933107949,1,0.0,100.0,0.0,0.0,100,0.1236,1,0.0005,1
CAT,2020-10-27,-0.0585212890702758,1.0670663434125474,0.018137654247372,-0.0261160759567347,0.0619340528431088,1,0.0,100.0,0.0,0.0,100,0.1236,1,0.0619,1
SHEL,2020-10-29,-0.0272512220323582,0.930008138495734,0.0386655505608306,-0.0390240198406679,0.0897280516336495,1,0.0,100.0,0.0,0.0,100,-0.8921,1,0.0897,1
KEX,2020-10-29,-0.0555002370656794,0.9258310102133936,0.0336100439644743,-0.0390240198406679,0.0666666331603233,1,0.0,100.0,0.0,0.0,100,0.549,1,0.0667,1
ADM,2020-10-29,-0.0186749852053471,1.131650129242058,0.0131557522167797,-0.0390240198406679,-0.0402645317191673,0,0.0,100.0,0.0,0.0,100,0.769,0,-0.0403,1
XOM,2020-10-30,-0.0162847540305395,1.396248850173072,0.0350067123850225,-0.0472384309415382,0.0049049287445921,1,0.0,100.0,0.0,0.0,100,-0.2284,1,0.0049,1
CVX,2020-10-30,-0.0193308976700127,1.2196378991388837,0.0277795110272162,-0.0472384309415382,0.0237409345352871,1,0.0,100.0,0.0,0.0,100,0.483,1,0.0237,1
HON,2020-10-30,-0.0458146874597846,1.1101276944123375,0.0231580246793072,-0.0472384309415382,0.1171262678859295,1,0.0,100.0,0.0,0.0,100,0.092,1,0.1171,1
NTR,2020-11-02,-0.0069244980672927,1.3790577043111427,0.0158900560632914,-0.0418153947036068,-0.0170714037588594,0,0.0,100.0,0.0,0.0,100,-0.4675,1,-0.0171,0
2222.SR,2020-11-03,-0.0028983378805305,1.0263297746986453,0.0123990072572336,-0.0281970444606701,0.0379017918618761,1,0.0,100.0,0.0,0.0,100,0.7321,1,0.0379,1
CF,2020-11-04,-0.0063360459064458,1.5088468667094694,0.0301789070790281,0.0122277440982464,0.1459113122494547,1,0.0,100.0,0.0,0.0,100,0.1947,0,0.1459,0
DUK,2020-11-05,0.0124650316243033,0.793921240269351,0.0174053686983926,0.0355389048273246,0.0103374021709497,1,0.0,100.0,0.0,0.0,100,0.092,1,0.0103,1
LNG,2020-11-06,0.0537634037579586,0.7624617187633664,0.0150110436316367,0.0719403491992624,0.0418164966674347,1,0.0,100.0,0.0,0.0,100,-0.4845,1,0.0418,1
FRO,2020-11-25,-0.0014770541290274,1.1324525512964103,0.0434892824840695,0.000248247670181,-0.0872781423243412,0,0.0,100.0,0.0,0.0,100,0.549,0,-0.0873,1
DE,2020-11-25,-0.0103050017232539,1.4187539539351908,0.0105420491788431,0.000248247670181,-0.0146238826041611,0,0.0,100.0,0.0,0.0,100,0.1947,0,-0.0146,1
ADM,2021-01-26,-0.0130510005079042,0.8378318604042355,0.0128336299647801,0.0140835810770193,-0.0237637358101502,0,0.0,100.0,0.0,0.0,100,0.032,0,-0.0238,1
NEE,2021-01-26,0.0327153385098147,1.373134044264253,0.0163180025266225,0.0140835810770193,-0.0269858298942068,0,0.0,100.0,0.0,0.0,100,-0.0315,0,-0.027,1
KEX,2021-01-28,-0.0589821748479951,1.632660369756927,0.0170144263390333,-0.0026937859297712,0.1037645002958158,1,0.0,100.0,0.0,0.0,100,0.2732,0,0.1038,0
CAT,2021-01-29,-0.0493917218218143,1.171649115312306,0.0180311618265473,-0.0359996492037959,0.0555678376932583,1,0.0,100.0,0.0,0.0,100,-0.0315,1,0.0556,1
HON,2021-01-29,-0.0610821105655037,1.4483088793650734,0.0163159038405605,-0.0359996492037959,0.0386445363314083,1,0.0,100.0,0.0,0.0,100,-0.0707,1,0.0386,1
CVX,2021-01-29,-0.106730729752363,0.8975348740460828,0.0180920798344388,-0.0359996492037959,0.0476525761217097,1,0.0,100.0,0.0,0.0,100,0.4013,1,0.0477,1
XOM,2021-02-02,-0.0379507846270708,1.0122956932701892,0.0169911681237944,-0.0034737211437217,0.1284201651442821,1,0.0,100.0,0.0,0.0,100,-0.6404,1,0.1284,1
SHEL,2021-02-04,-0.0466267961711415,1.4900642328696925,0.0171186930654959,0.0062534513265265,0.019672168349779,1,0.0,100.0,0.0,0.0,100,-0.7003,0,0.0197,0
DUK,2021-02-11,-0.0186797195609025,0.7629936075190173,0.0120945039601223,0.0240075668937914,-0.0220083671034359,0,0.0,100.0,0.0,0.0,100,-0.0707,0,-0.022,1
PEP,2021-02-11,-0.0246423970178242,0.9623236531326088,0.0113730047647933,0.0240075668937914,-0.0182264404024197,0,0.0,100.0,0.0,0.0,100,0.8189,0,-0.0182,1
NTR,2021-02-17,0.0427559518860977,1.3299507985167562,0.0135378611597273,0.0120710758202057,0.0118169965665505,1,0.0,100.0,0.0,0.0,100,-0.6404,1,0.0118,1
CF,2021-02-17,0.0518173861870798,0.693912265986807,0.0178770964489555,0.0120710758202057,0.0787836956049442,1,0.0,100.0,0.0,0.0,100,0.1675,1,0.0788,1
NESN.SW,2021-02-18,-0.0002015007021538,0.7430823973383566,0.0067365145327537,0.0005379248340705,-0.0306328627455842,0,0.0,100.0,0.0,0.0,100,-0.8564,0,-0.0306,1
FRO,2021-02-18,0.0809594197044459,1.881144300159184,0.0411658975975538,0.0005379248340705,-0.0166433476972303,0,0.0,100.0,0.0,0.0,100,0.2732,1,-0.0166,0
DE,2021-02-19,0.0465229090349235,1.865361611052985,0.0435117607465814,-0.0005638196462586,0.0579392149930713,1,0.0,100.0,0.0,0.0,100,0.1675,1,0.0579,1
LNG,2021-02-24,0.0359363168046763,0.8910728536646327,0.0175953187112775,-0.0022160023724633,-0.013847410099532,0,0.0,100.0,0.0,0.0,100,-0.9084,1,-0.0138,0
2222.SR,2021-03-22,-0.0097492859388915,0.9816238480580544,0.0050847777450536,0.0008788319781549,-0.001369517082486,0,0.0,100.0,0.0,0.0,100,0.8091,0,-0.0014,1
PEP,2021-04-15,-0.0094662679938286,0.7097285660148721,0.0037079670313536,0.024007894955131,0.0264213578198909,1,0.0,100.0,0.0,0.0,100,0.2732,1,0.0264,1
NEE,2021-04-21,0.0042506278917243,1.0918114324688817,0.0177337878299233,0.0107619854994467,-0.0112868451260419,0,0.0,100.0,0.0,0.0,100,0.722,0,-0.0113,1
HON,2021-04-23,-0.0212746673760933,0.7100640489658678,0.0126859600761751,0.0128569564624552,-0.0065032537042371,0,0.0,100.0,0.0,0.0,100,0.2732,0,-0.0065,1
ADM,2021-04-27,0.0398655225778455,1.1139060688519442,0.0163960956680512,0.0006229375715536,0.0530572657998695,1,0.0,100.0,0.0,0.0,100,-0.3976,1,0.0531,1
KEX,2021-04-29,0.0504966748345817,0.9519080411706544,0.0202351597246478,0.0191425471333823,0.0561071919698128,1,0.0,100.0,0.0,0.0,100,0.259,1,0.0561,1
CAT,2021-04-29,0.0038141691905564,0.8219577762079702,0.0146640926653565,0.0191425471333823,0.0422034799920774,1,0.0,100.0,0.0,0.0,100,0.722,0,0.0422,0
SHEL,2021-04-29,0.0086122401113559,0.9524958401270032,0.0130952463171746,0.0191425471333823,0.0382924428149517,1,0.0,100.0,0.0,0.0,100,0.1234,1,0.0383,1
CVX,2021-04-30,0.0033094491330187,0.9462820050794436,0.0208501389919708,0.0029560880122942,0.0674299556294194,1,0.0,100.0,0.0,0.0,100,0.1571,1,0.0674,1
XOM,2021-04-30,0.0221429886723413,0.9793684142801856,0.0193363790133846,0.0029560880122942,0.0906707811097858,1,0.0,100.0,0.0,0.0,100,0.672,1,0.0907,1
NTR,2021-05-03,0.041310078763882,0.8647119176059687,0.0131931839221668,0.0143839208992138,0.1034666999703369,1,0.0,100.0,0.0,0.0,100,0.1873,1,0.1035,1
LNG,2021-05-04,0.072246678116681,0.903512723309562,0.0082079256760478,-0.0026875797872799,0.0324324861363478,1,0.0,100.0,0.0,0.0,100,-0.0707,1,0.0324,1
CF,2021-05-05,0.0332165313761776,1.0238456451550162,0.0128620716847412,-0.0044540070140869,0.0768770009539871,1,0.0,100.0,0.0,0.0,100,0.0586,1,0.0769,1
DUK,2021-05-10,0.0420893328756197,1.0234783845922188,0.0132054272906407,-0.0050468145507813,-0.0029291511891003,0,0.0,100.0,0.0,0.0,100,0.2732,1,-0.0029,0
DE,2021-05-21,-0.0371491621393818,1.8345832180199395,0.0211187594815376,0.0235071234892068,0.0037526888880131,1,0.0,100.0,0.0,0.0,100,0.0586,0,0.0038,0
FRO,2021-05-27,0.0210394516165353,1.4362001743327997,0.0293654218325986,0.0178422478870218,0.015757596299523,1,0.0,100.0,0.0,0.0,100,0.259,0,0.0158,0
PEP,2021-07-13,0.0321184837087645,0.9021499678935572,0.0085487286082942,0.0119879230958798,0.0186981789188334,1,0.0,100.0,0.0,0.0,100,0.259,1,0.0187,1
HON,2021-07-23,0.0068050075231731,4.701359011928106,0.0268930476153036,0.0084815661363273,0.0194923789072266,1,0.0,100.0,0.0,0.0,100,0.259,1,0.0195,1
NEE,2021-07-23,0.0198150279413882,0.9652676273381532,0.0129395515950991,0.0084815661363273,0.0090672240276905,1,0.0,100.0,0.0,0.0,100,0.0,1,0.0091,1
ADM,2021-07-27,0.0109945760970776,1.036545251701024,0.0100847285495185,0.0177819889153355,0.0159728608911585,1,0.0,100.0,0.0,0.0,100,-0.0315,1,0.016,1
SHEL,2021-07-29,0.1022881619255842,0.9609525751756308,0.0212035741211825,0.0222473429332662,0.0061050686718576,1,0.0,100.0,0.0,0.0,100,0.0224,1,0.0061,1
KEX,2021-07-29,0.0265939546087441,0.7241496517979242,0.0122077906101724,0.0222473429332662,-0.0551311794673765,0,0.0,100.0,0.0,0.0,100,0.2456,1,-0.0551,0
CVX,2021-07-30,0.0199360842455355,0.8693162576301098,0.011376184590659,0.0091130006686749,0.0013747996489337,1,0.0,100.0,0.0,0.0,100,0.672,1,0.0014,1
CAT,2021-07-30,-0.0188866410813354,0.7618864998707763,0.0123710833949288,0.0091130006686749,0.0077386594827966,1,0.0,100.0,0.0,0.0,100,0.0,1,0.0077,1
XOM,2021-07-30,-0.0032894443792277,0.7909726221843297,0.0164059151456749,0.0091130006686749,0.0050373799138381,1,0.0,100.0,0.0,0.0,100,0.2547,1,0.005,1
DUK,2021-08-05,0.0147612092374601,0.9839228256533472,0.0069675316029795,0.0062637646253607,-0.0116678610989967,0,0.0,100.0,0.0,0.0,100,0.259,1,-0.0117,0
LNG,2021-08-05,0.0151247878005553,0.9066703528536684,0.0141475013858721,0.0062637646253607,0.025840769608479,1,0.0,100.0,0.0,0.0,100,0.2732,1,0.0258,1
2222.SR,2021-08-09,0.0086083400102805,0.99740144853236,0.0032420211406686,0.0033586580918139,0.0057416913073263,1,0.0,100.0,0.0,0.0,100,-0.1032,1,0.0057,1
NTR,2021-08-09,0.0065074351936655,1.1443005934653483,0.0207892856670012,0.0033586580918139,0.0316644874552242,1,0.0,100.0,0.0,0.0,100,0.7696,0,0.0317,0
CF,2021-08-09,-0.0117574642061874,1.154577004668513,0.0211256385205445,0.0033586580918139,-0.0083789895218217,0,0.0,100.0,0.0,0.0,100,0.2517,0,-0.0084,1
DE,2021-08-20,-0.0897484461697671,1.3868469470711566,0.0119120343166115,-0.0009464112256583,0.0798454056626008,1,0.0,100.0,0.0,0.0,100,0.2517,0,0.0798,0
FRO,2021-08-26,0.0160213426811955,0.9426314213693128,0.0192066386594365,0.004999488051954,0.0210249424340064,1,0.0,100.0,0.0,0.0,100,0.2456,1,0.021,1
PEP,2021-10-05,-0.0201686336874726,1.25282837885289,0.0086507156389099,-0.0243515587542603,0.0386524709293029,1,0.0,100.0,0.0,0.0,100,0.2456,1,0.0387,1
NEE,2021-10-20,0.0782473344796606,1.1966105520828898,0.0104446592332004,0.0407643362525061,0.0129886217640512,1,0.0,100.0,0.0,0.0,100,0.0,1,0.013,1
