ticker,sentiment_score,buzz_score,sentiment_slope,sentiment_polarity,n_headlines
XOM,0.0,100.0,0.0,0.0,100
CVX,0.0,100.0,0.0,0.0,100
2222.SR,0.0,100.0,0.0,0.0,100
LNG,0.0,100.0,0.0,0.0,100
SHEL,0.0,100.0,0.0,0.0,100
KEX,0.0,100.0,0.0,0.0,100
FRO,0.0,100.0,0.0,0.0,100
CF,0.0,100.0,0.0,0.0,100
NTR,0.0,100.0,0.0,0.0,100
ADM,0.0,100.0,0.0,0.0,100
DE,0.0,100.0,0.0,0.0,100
CAT,0.0,100.0,0.0,0.0,100
HON,0.0,100.0,0.0,0.0,100
NEE,0.0,100.0,0.0,0.0,100
DUK,0.0,100.0,0.0,0.0,100
NESN.SW,0.0,100.0,0.0,0.0,100
PEP,0.0,100.0,0.0,0.0,100
